Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US-3,50,286,227,628,58.54,0.000%,.08501,0.08,0.03,942.0
/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US-4,50,89,72,148,14.73,0.000%,.08509,0.08,0.03,942.0
/v1/buckets/main/collections/ms-language-packs/records/cfr-v1-en-US-2,50,88,73,174,17.16,0.000%,.08509,0.08,0.03,942.0
/submit/messaging-system/undesired-events/1/96e1348e-d00e-43cc-940b-6ac73b82ee75-7,50,462,394,535,38.85,0.000%,.08504,0.07,0.10,828.1
/submit/messaging-system/undesired-events/1/73916a48-4a2c-428f-a59a-ad96e0a0b587-6,50,270,232,330,22.66,0.000%,.08507,0.07,0.10,831.6
/submit/messaging-system/undesired-events/1/69d4535b-9393-4853-b607-1091145034b7-5,50,271,231,318,22.23,0.000%,.08507,0.07,0.10,822.6
/submit/firefox-desktop/baseline/1/8ff6d4fd-3fed-4e3b-8fef-436f18f26a98-1,50,279,239,378,27.38,0.000%,.08508,0.07,0.16,836.8
/submit/firefox-desktop/messaging-system/1/9cb08d07-e26d-41d0-bbcb-461c0c0b0aa1-8,50,272,230,330,23.24,0.000%,.08508,0.07,0.15,832.7
/submit/firefox-desktop/messaging-system/1/dc742c0e-bc9c-4808-9aeb-1cd78d0ee0b7-9,50,273,228,375,28.03,0.000%,.08507,0.07,0.15,829.7
/submit/firefox-desktop/messaging-system/1/a8ef6684-71d4-4530-bd45-bda0fd01df45-10,50,273,231,385,22.65,0.000%,.08507,0.07,0.16,818.8
/vuce-zee-api-autorizacion/login/-11,50,797,117,4261,1135.30,0.000%,.08509,0.37,0.05,4500.9
/submit/activity-stream/sessions/1/3451ed64-640a-4244-a4db-5e8babe46769-12,50,278,226,371,35.14,0.000%,.08509,0.07,0.13,816.7
/submit/firefox-desktop/newtab/1/6b8c880f-726d-4933-9ad2-ac544dc14b4e-13,50,270,227,325,21.96,0.000%,.08509,0.07,0.20,816.2
/vuce-zee-menu/assets/images/logo_vuce_header_login.svg-14,50,1481,82,31393,4534.20,0.000%,.08510,4.35,0.06,52292.2
/vuce-zee-api-autorizacion/auth-15,50,693,194,3409,910.63,0.000%,.08510,0.60,0.34,7276.6
