Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/vuce-zee-api-autorizacion/login/-48,50,2331,124,66342,9293.42,0.000%,.08499,0.37,0.05,4501.0
/vuce-zee-api-autorizacion/auth-49,50,1104,196,5500,1457.06,0.000%,.08498,0.60,0.34,7252.7
/icon-51,50,269,235,395,30.46,0.000%,.08560,0.10,0.04,1174.7
/vuce-zee-mf/vuce-zee-root-config.js-52,50,1454,30,31210,4865.88,0.000%,.08563,1.46,0.24,17494.4
/vuce-zee-menu/main.js-53,50,188377,320,3384129,614461.28,14.000%,.01459,14.92,0.03,1047306.6
/css2-54,48,138,76,333,81.81,0.000%,.05236,0.08,0.02,1642.6
/pass-through-https-cert/zee/api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE3MDY3Mzk3NTIsImlhdCI6MTcwNjczNjE1MiwianRpIjoiYzg4OTMxYzctYTFkYy00Mzg0LWIwZmQtMTNmYmU1Nzg1MjhjIiwiaXNzIjoiaHR0cHM6Ly9jZXJ0aWZpY2F0aW9uLXRlc3QudnVjZS5nb2IucGUvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImU0OTIxN2E3LWMyNjgtNDNmMC1iNTlkLTEwMGZlNGExMDYyYiIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.O2w3CJndBEhoVBjkwpt693TZaO-W7QotjiFIRopzvfqKDwf7wZJTYhduZyW44kN0JTsVzMiFy_YkDQwyxpqpJObms1D4ODtpAgcU1HlzgJbE8T-aCqQBeqrUAjG3Pt4bYQ-ZwHG1lqAscL_-cG82xYSrSijukCQPVjovrd3Rt5qwqps5Pro7HOlTArGjDZUXl8mNwvoQb7AtjTcAzoB_jce1sYvm2tcPAK92lu_nuxbhXXgqNrL0jxoyCP1ah7nLMhILtdZqEGJs1qymLT5o9oH_Ck3pSCRfdrBHOBRL8QFrJW4tLTn42CW1rfPI9dOK36ErX5uqCaDb7v40mJCBbw&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-55,48,706,130,3727,998.95,0.000%,.05235,0.07,0.12,1313.0
/vuce-zee-menu/assets/images/user_face.jpg-56,48,300,30,3320,797.23,0.000%,.05236,0.30,0.15,5849.5
/pass-through-https-cert/zee/api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE3MDY3Mzk3NTIsImlhdCI6MTcwNjczNjE1MiwianRpIjoiYzg4OTMxYzctYTFkYy00Mzg0LWIwZmQtMTNmYmU1Nzg1MjhjIiwiaXNzIjoiaHR0cHM6Ly9jZXJ0aWZpY2F0aW9uLXRlc3QudnVjZS5nb2IucGUvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImU0OTIxN2E3LWMyNjgtNDNmMC1iNTlkLTEwMGZlNGExMDYyYiIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.O2w3CJndBEhoVBjkwpt693TZaO-W7QotjiFIRopzvfqKDwf7wZJTYhduZyW44kN0JTsVzMiFy_YkDQwyxpqpJObms1D4ODtpAgcU1HlzgJbE8T-aCqQBeqrUAjG3Pt4bYQ-ZwHG1lqAscL_-cG82xYSrSijukCQPVjovrd3Rt5qwqps5Pro7HOlTArGjDZUXl8mNwvoQb7AtjTcAzoB_jce1sYvm2tcPAK92lu_nuxbhXXgqNrL0jxoyCP1ah7nLMhILtdZqEGJs1qymLT5o9oH_Ck3pSCRfdrBHOBRL8QFrJW4tLTn42CW1rfPI9dOK36ErX5uqCaDb7v40mJCBbw&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-59,48,278,77,3147,520.18,0.000%,.05235,0.03,0.20,626.1
/vuce-zee-menu/assets/images/zonas-economicas-especiales.png-58,48,6001,165,95753,19635.88,0.000%,.05235,35.40,0.15,692576.8
