Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
/vuce-zee-api-autorizacion/login/-322,200,378,149,556,105.50,0.000%,165.83748,455.89,102.35,2815.0
/vuce-zee-api-autorizacion/auth-331,200,6486,630,11910,3366.92,0.000%,16.17338,93.90,64.38,5945.0
/vuce-zee-mf/-333,200,50,14,624,55.42,0.000%,16.99380,54.37,48.91,3276.1
/vuce-zee-api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE2ODMwNDQ1MTMsImlhdCI6MTY4MzA0MDkxMywianRpIjoiYTZmZGUzNDctODMyNy00MmIxLWFiYTgtNjZmMDdmYjg5ZDk2IiwiaXNzIjoiaHR0cDovLzEwLjE5LjM0LjUwOjgwODAvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImE2ZDM0MDAxLTIyMWUtNDIyMC1iZTBjLTc0OTdmODYwYWI2ZCIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.RQNsdNPdOZLREZd-5VtkezK0P7r6nBJcwQkw9p4yYW7KbRvTnp2puZLsUBIWTg2CbHMYeSCr1JHusFRweQ0jQr_8lp3bgOuvgK9nVf4URzz8s8JTOHIxbktF77ISnbNYjx2fLNTHOtHA9O15CQaIGOjCHBGqd2VI6cJJuHfqbBGie1h0qGAXlwhAYgOf_Z0exQkKyxZaRZ-jFWFIYWy693lNE37Ow14eZk1Eb4MgzoUnJWhV8-RbX91p4Kv0vhVbGaVMBFQhj7FBLoFnZESdkrfT3THz-T9DmodElAJ9S3t8ugIGJNCAJ0dLYuirwVjamZ2teRNEMaPS4oI3sQWH1A&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-336,200,222,23,1318,194.91,0.000%,16.90903,9.02,99.03,546.2
/vuce-zee-api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE2ODMwNDQ1MTMsImlhdCI6MTY4MzA0MDkxMywianRpIjoiYTZmZGUzNDctODMyNy00MmIxLWFiYTgtNjZmMDdmYjg5ZDk2IiwiaXNzIjoiaHR0cDovLzEwLjE5LjM0LjUwOjgwODAvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImE2ZDM0MDAxLTIyMWUtNDIyMC1iZTBjLTc0OTdmODYwYWI2ZCIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.RQNsdNPdOZLREZd-5VtkezK0P7r6nBJcwQkw9p4yYW7KbRvTnp2puZLsUBIWTg2CbHMYeSCr1JHusFRweQ0jQr_8lp3bgOuvgK9nVf4URzz8s8JTOHIxbktF77ISnbNYjx2fLNTHOtHA9O15CQaIGOjCHBGqd2VI6cJJuHfqbBGie1h0qGAXlwhAYgOf_Z0exQkKyxZaRZ-jFWFIYWy693lNE37Ow14eZk1Eb4MgzoUnJWhV8-RbX91p4Kv0vhVbGaVMBFQhj7FBLoFnZESdkrfT3THz-T9DmodElAJ9S3t8ugIGJNCAJ0dLYuirwVjamZ2teRNEMaPS4oI3sQWH1A&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-335,200,221,24,1690,241.11,0.000%,17.04739,9.55,99.84,573.4
/vuce-zee-mf/-337,200,39,13,159,26.10,0.000%,17.08817,55.08,47.58,3300.7
/vuce-zee-api/v1/login/token?token=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJSWmtYbGdXLU90bjd2RzFiZl9FUHFvRXl0QV9jSUJnc3l5UDhZSlpHTk9vIn0.eyJleHAiOjE2ODMwNDQ1MTMsImlhdCI6MTY4MzA0MDkxMywianRpIjoiYTZmZGUzNDctODMyNy00MmIxLWFiYTgtNjZmMDdmYjg5ZDk2IiwiaXNzIjoiaHR0cDovLzEwLjE5LjM0LjUwOjgwODAvYXV0aC9yZWFsbXMvemVlcGVydSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0YjA3ZTcwMy02OGZiLTRkZjgtYWUxZS00YTE2ZTVhNjVjNTUiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJsYW5kaW5nIiwic2Vzc2lvbl9zdGF0ZSI6ImE2ZDM0MDAxLTIyMWUtNDIyMC1iZTBjLTc0OTdmODYwYWI2ZCIsImFjciI6IjEiLCJhbGxvd2VkLW9yaWdpbnMiOlsiaHR0cDovL2xvY2FsaG9zdDo4MDgxLyoiLCJodHRwczovL2xhbmRpbmctdGVzdC52dWNlLmdvYi5wZSIsIioiLCJodHRwOi8vbG9jYWhvc3Q6OTAwMCJdLCJyZWFsbV9hY2Nlc3MiOnsicm9sZXMiOlsiQWRtaW5pc3RyYWRvciIsIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwgZGVmYXVsdCIsImVtYWlsX3ZlcmlmaWVkIjpmYWxzZSwibmFtZSI6IkFiZWwgQ2hpbmdvIFRlbGxvIiwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWJlbGNoaW5nbyIsImdpdmVuX25hbWUiOiJBYmVsIiwibG9jYWxlIjoiZW4iLCJmYW1pbHlfbmFtZSI6IkNoaW5nbyBUZWxsbyIsImVtYWlsIjoiYWRtaW5AemVlcGVydS5jb20ifQ.RQNsdNPdOZLREZd-5VtkezK0P7r6nBJcwQkw9p4yYW7KbRvTnp2puZLsUBIWTg2CbHMYeSCr1JHusFRweQ0jQr_8lp3bgOuvgK9nVf4URzz8s8JTOHIxbktF77ISnbNYjx2fLNTHOtHA9O15CQaIGOjCHBGqd2VI6cJJuHfqbBGie1h0qGAXlwhAYgOf_Z0exQkKyxZaRZ-jFWFIYWy693lNE37Ow14eZk1Eb4MgzoUnJWhV8-RbX91p4Kv0vhVbGaVMBFQhj7FBLoFnZESdkrfT3THz-T9DmodElAJ9S3t8ugIGJNCAJ0dLYuirwVjamZ2teRNEMaPS4oI3sQWH1A&idkeycload=4b07e703-68fb-4df8-ae1e-4a16e5a65c55-338,200,232,23,1141,186.48,0.000%,17.03578,8.97,63.37,539.4
/vuce-zee-api/v1/personas/user-keycloack/4b07e703-68fb-4df8-ae1e-4a16e5a65c55-339,200,80,19,807,70.62,0.000%,17.14825,14.89,36.69,889.4
/vuce-zee-api/v1/personas/user-keycloack/4b07e703-68fb-4df8-ae1e-4a16e5a65c55-340,200,81,18,597,61.75,0.000%,17.11010,14.36,36.61,859.6
/vuce-zee-api/v1/personas/user-keycloack/4b07e703-68fb-4df8-ae1e-4a16e5a65c55-342,200,73,21,439,43.34,0.000%,17.06922,14.26,36.52,855.4
